Sector,Window,Selection,Regression,Scale,Response,Lag,Variable,Target,Goal,Method,Feature,In-AUC,In-Brier,In-LL,Out-AUC,Out-Brier,Out-LL
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,logistic,none,0.6113,0.1595,0.4904,0.1868,0.2163,1.2675
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,logistic,lasso,0.6113,0.1595,0.4904,0.1868,0.2163,1.2675
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,logistic,lasso_company,0.6113,0.1595,0.4904,0.1868,0.2163,1.2675
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,logistic,lasso_day,0.6113,0.1595,0.4904,0.1868,0.2163,1.2675
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,asym logistic,none,0.625,0.2212,0.6249,0.2161,0.2731,1.3174
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,asym logistic,lasso,0.625,0.2212,0.6249,0.2161,0.2731,1.3174
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,asym logistic,lasso_company,0.625,0.2212,0.6249,0.2161,0.2731,1.3174
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,asym logistic,lasso_day,0.625,0.2212,0.6249,0.2161,0.2731,1.3174
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,xgboost,none,1,0.0009,0.0193,0.6068,0.2062,1.4013
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,xgboost,lasso,1,0.0009,0.0193,0.6068,0.2062,1.4013
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,xgboost,lasso_company,1,0.0009,0.0193,0.6068,0.2062,1.4013
Cap,63,dynamic,quantile,daily,MI,63,frm,recession,predict,xgboost,lasso_day,1,0.0009,0.0193,0.6068,0.2062,1.4013
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,logistic,none,1,0.0024,0.0174,0.5584,0.2958,5.0863
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,logistic,lasso,0.8265,0.1109,0.357,0.4482,0.2334,1.6419
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,logistic,lasso_company,0.664,0.1468,0.464,0.2964,0.2138,0.9972
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,logistic,lasso_day,0.7402,0.1443,0.4461,0.471,0.2121,1.3163
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,asym logistic,none,1,0.0033,0.0196,0.5581,0.3016,5.2144
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,asym logistic,lasso,0.8312,0.1448,0.4501,0.4455,0.2734,2.0571
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,asym logistic,lasso_company,0.6703,0.2056,0.5914,0.2962,0.2593,1.0285
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,asym logistic,lasso_day,0.7434,0.1948,0.5651,0.4676,0.267,1.4083
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,xgboost,none,1,0,0.0016,0.6186,0.2043,1.2508
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,xgboost,lasso,1,0.0002,0.0076,0.55,0.2283,1.4335
Cap,63,dynamic,quantile,daily,MI,63,lambda_j,recession,explain,xgboost,lasso_company,1,0.0004,0.0131,0.3198,0.2665,1.5571
