,0
899,18685533702.251286
900,2287029808.271056
901,3245501056.213719
902,5307322949.729531
903,3594058484.1437993
904,16230062397.130125
905,19412241407.026535
906,18551622124.279907
907,13560621043.148928
908,22932838399.884174
909,11341315762.931885
910,5546071777.865299
911,11938978313.675493
912,36280879545.684814
913,19582959400.37598
914,38618348662.717026
915,20740146389.7062
916,6684523744.744081
917,6071171510.452519
918,8544785392.353639
919,7006613856.945266
920,7584693721.154558
921,16346907643.531796
922,27424434723.93188
923,29437367520.67602
924,24020438261.856686
925,12222646196.135208
926,17042122886.23272
927,37464199311.647
928,9773267306.085587
929,27171124755.42503
930,4201117470.001219
931,2624823223.4532614
932,5551944275.937136
933,4114191885.0716877
934,6973185562.29602
935,10075157370.063248
936,8773965202.530022
937,25721955855.042538
938,20584029924.11645
939,21328218597.277836
940,8228528893.080216
941,9594180318.262466
942,24467911321.10748
943,16762072904.916811
944,42188680217.64167
945,25741394799.567635
946,7959866250.979983
947,5781618937.958144
948,8476449297.69458
949,8498377584.108462
950,12106595529.963501
951,6840187908.485019
952,13861475712.695312
953,24435895589.71704
954,35852686571.93391
955,22176146553.684837
956,21132342516.969967
957,37384712341.77712
958,9881321986.53967
959,26744970596.12427
960,5989105153.073303
961,3916593110.2835083
962,5561298564.7660055
963,6422099248.352178
964,10050567242.856688
965,14458555497.380938
966,7586211163.678237
967,10162520860.801455
968,17925921907.570496
969,23159174694.70825
970,10147517556.52752
971,11255729312.63344
972,26256432016.719776
973,19644636758.215336
974,37012886472.76782
975,25125983146.832706
976,9483951076.89261
977,8169280133.250486
978,8938766548.965149
979,8650946224.014893
980,10933586482.396727
981,12367203315.666807
982,19693502388.555912
983,13920817217.070856
984,13924864644.576965
985,16639218637.803621
986,27128582715.20826
987,46765662368.912346
988,11948132562.66949
989,25075263444.049072
990,6188115760.458559
991,3684004564.0040283
992,7340680395.334781
993,8506334453.489072
994,12418639183.285275
995,12913781270.55763
996,13715672466.16852
997,11887986911.734924
998,18495713966.773926
999,3454527473.3563375
