,0
138,15476398833.08721
139,7121557119.323744
140,13434214489.877745
141,25823677644.967415
142,35956911840.84721
143,46225559999.213425
144,32664404307.66754
145,32611993669.27758
146,20436940476.88988
147,13660115065.341059
148,11841804491.288876
149,11991471352.694895
150,17708246132.3479
151,20959610367.538136
152,26536236443.53222
153,29810401010.41296
154,34345788159.697353
155,28869667141.985733
156,24125201823.08118
157,27742522858.55385
158,18348406867.867424
159,25873878965.378895
160,25552137965.344044
161,33992789248.113773
162,32904025099.10277
163,41819475761.520485
164,38751221419.356674
165,29794538203.646038
166,36801973989.65721
167,30180477716.140614
168,42648776487.65674
169,56780736410.16361
170,45027145286.5139
171,18760731974.18706
172,13828607151.812061
173,12248774754.770805
174,21052501123.094837
175,30734272019.97319
176,28570563666.821888
177,29146732179.42071
178,29346609039.165024
179,21250868440.405506
180,14205178517.150633
181,19549998956.007065
182,24230285035.451405
183,24468505345.81816
184,25025576980.368412
185,28616355989.574257
186,33028023230.891655
187,27052113141.720337
188,32911183163.761227
189,35837002296.865715
190,42953343013.44677
191,37254220627.81248
192,25391360591.215607
193,18414854336.023323
194,31026555708.330555
195,34735314385.04448
196,39020455258.62888
197,42145922084.1018
198,28659565723.14288
199,41951728741.1309
200,24224356259.83256
201,41835946465.46197
202,41416731207.6682
203,32172493907.146774
204,31910915736.171127
205,23615641920.669483
206,19044597929.006947
207,28508812501.55322
208,16793791257.17504
209,21270103615.55957
210,23686094306.42345
211,16810259138.036428
212,17628257188.507072
213,16788578736.163088
214,18944094377.5908
215,21143053096.510998
216,28256095107.19726
217,32154056504.965855
218,29846011797.9892
219,19309262820.38038
220,18366514822.35319
221,24873620879.670216
222,27234445261.46888
223,28813696933.03831
224,24751597820.397964
225,17686105665.760876
226,17308565948.812492
227,22027420937.820297
228,35613972715.2652
229,36114501616.852036
230,45179130779.59471
231,56982162336.422104
232,45724707604.07275
233,65262826523.5396
234,48110522522.15942
235,18695475944.489796
236,34140942753.370647
237,41352466474.55566
238,54926599075.37939
239,51162687391.59982
240,25933299448.171764
241,21071386555.89852
242,15385166287.23498
243,15031033331.672663
244,18658747672.29541
245,22178759393.94786
246,31976786042.58299
247,32051623476.31425
248,26091315512.752197
249,25753856926.2107
250,28937178130.250942
251,26726400426.762806
252,30067955428.503426
253,32281176359.908684
254,36085192085.901596
255,34628323953.08099
256,39416163080.26283
257,22544520273.669518
258,34787211731.55724
259,30827385452.67517
260,25877349257.587936
261,24263834092.73149
262,25256349091.57135
263,35105367832.51202
264,39120275769.66016
265,55115445200.62967
266,42125302893.036125
267,33308940098.560787
268,23997011622.277576
269,30736162641.833797
270,40201761235.24411
271,60322094461.24704
272,40654948061.838196
273,27659584575.858627
274,18762712013.92095
275,7970304228.719785
276,8866723955.22778
277,14728122725.031305
278,22492942950.950424
279,31841243440.37871
280,33466070703.496616
281,30827485296.63696
282,28581899611.709965
283,21686881603.982307
284,19641682896.17815
285,25071672163.565914
286,25268855167.608627
287,19797381896.505802
288,25211129574.786266
