,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-04-17 20:00:00,1683021750841.5688,191063916288.1104,144822679269.92004,86065158686.14836,120600390561.30048,60794740122.6547,68749149311.62585,23546194356.523693,14688652932.565016,23340409504.918888
2025-04-17 21:00:00,1689407728473.683,191266758797.74036,144807257700.75046,86282124450.94992,121028580267.11124,60799392862.31154,69618181139.52626,23579528786.929157,14708896651.627235,23383772082.821384
2025-04-17 22:00:00,1688465771447.9546,191673793656.57202,144812963554.1813,86320642751.13489,121029177857.85567,60800024829.432106,69622739194.58168,23601067111.9219,14743564570.385864,23356500113.301987
2025-04-17 23:00:00,1684987220414.797,191336929896.9879,144817473460.68875,86252609062.5583,120680038429.73802,60798415159.58123,69250491579.14378,23551562943.620377,14708716341.889688,23213475767.114758
2025-04-18 00:00:00,1686853537914.595,191101144482.32,144796555857.75095,86124624270.06178,120584297620.31529,60899326962.72065,69557634862.88998,23531416153.181953,14696856893.043747,23200686004.2176
2025-04-18 01:00:00,1683329521681.2544,190693767668.08417,144797104424.19412,85942239157.61359,119648281559.52223,60898368124.78843,69183484774.19202,23505782412.13155,14674178056.342615,22997262259.239098
2025-04-18 02:00:00,1686195085236.14,191011536175.22882,144795021175.85614,85910479162.43922,120039539620.14627,60899497655.4529,69685460688.10052,23456497736.530426,14705755192.999144,22922527445.016884
2025-04-18 03:00:00,1685488709249.2664,191225270031.9104,144793207240.80026,85977288324.03267,120152728296.66634,60868271937.94444,69886475738.0274,23389469257.54976,14700994419.44144,22993150455.22889
2025-04-18 04:00:00,1683852570596.0845,191117661277.73392,144793888860.9026,86169083539.36534,119815779645.82288,60867503327.843185,69518957720.90665,23410736628.289738,14698798782.092863,23054946250.110252
2025-04-18 05:00:00,1681573176161.4175,190944584493.98337,144794161969.00665,85965742277.29695,120189062325.57956,60864447390.86421,69220929690.38603,23317304942.384266,14694515927.548634,23102957635.15728
2025-04-18 06:00:00,1681084164452.5947,190551807843.14273,144796166104.90814,85859961045.75256,120201614501.50932,60868958237.49713,69165084229.98546,23337360784.089336,14661828112.637144,23045370720.079945
2025-04-18 07:00:00,1681924421758.8403,190733753151.2643,144792917457.00934,85906084979.56349,120484090197.61108,60864396947.41931,69320404525.06049,23283386041.102524,14662195533.627975,23044886255.21656
2025-04-18 08:00:00,1680362631487.891,191152775137.64532,144791316751.41144,85923170955.93846,120675130865.75847,60870256769.00517,69609526438.44592,23232903333.232243,14708729137.122839,23101841441.908546
2025-04-18 09:00:00,1680105402361.9424,191487627276.05542,144783152681.61795,85997565899.073,121087187160.67833,60867174797.74298,69575270170.15173,23210149671.32166,14728746739.769905,23172431326.670673
2025-04-18 10:00:00,1679124145116.2173,191751592981.96155,144776330035.57492,86025734643.06447,121190567516.71619,60872040595.0303,69614207997.67111,23348287961.018982,14756076993.494127,23163607107.96909
2025-04-18 11:00:00,1677896861974.3977,191164132865.02356,144781885947.565,85935411616.02951,120913971669.12726,60861052895.41358,69083657544.46576,23264425421.304146,14716771291.523132,23069098068.974987
2025-04-18 12:00:00,1679104751971.1665,191942373248.37262,144782348616.34488,86223997505.77942,121264528335.86708,60856979275.42802,69258749541.77736,23269735737.46959,14755864312.319637,23115506303.534245
