,0
211,19082075792.252254
212,17929794814.79419
213,14382491999.649715
214,12677451581.471794
215,11374733852.81372
216,10848148236.998655
217,12386306292.506346
218,15556955077.62164
219,16987589978.381649
220,16594581836.222662
221,13440170724.024912
222,10629349306.548841
223,9300120691.504362
224,9953200160.989048
225,9300822524.373535
226,10421303462.838198
227,11438407364.914684
228,12579311963.543455
229,13127623680.513687
230,13952186829.114382
231,14498926966.352106
232,15628415325.020647
233,15359944074.031555
234,13433488134.074476
235,13293214828.903212
236,13394312704.201912
237,16362545295.806225
238,14007149927.558867
239,14019587606.227547
240,16431381165.747458
241,14990467046.11928
242,12604374499.094492
243,13102311777.154566
244,15699594978.083755
245,14439344914.436764
246,11054279144.077408
247,16435371192.89215
248,13594197336.688736
249,11335161183.991407
250,12583592210.311047
251,11476774768.836971
252,8645456519.510267
253,5298059090.189283
254,6987760544.45221
255,4180531683.345128
256,2863490280.6662135
257,1848861457.4578285
258,2891830527.9273677
259,1805103403.013375
260,1232239889.994217
261,611202772.1267433
262,1330064991.1016753
263,727518106.6608509
264,256683865.36286795
265,411177776.42380524
266,3478255115.3584294
267,3004341162.4981675
268,2450494484.619595
269,784366756.0981785
270,4654108935.301129
271,6621306024.714725
272,6562093491.457109
273,3576450283.1171412
274,6955914825.9348135
275,6006351083.179909
276,4128316230.402263
277,466837519.3493823
278,1076267934.9909823
279,426992544.92721903
280,566691629.6025851
281,1163979904.1718528
282,2140621946.1793213
283,1901186656.6460905
284,1682174827.4764743
285,4898503777.774049
286,7412387662.562317
287,9293610719.644352
288,12898433989.8941
289,13083844054.974768
290,16048866303.65965
291,16448776098.255266
292,19117288591.40589
293,20749271670.562046
294,23368897364.30382
295,22431931221.39382
296,19003973170.682865
297,17321472609.7328
298,15908411387.900694
299,13129175081.40704
300,12225801977.899961
301,11762624432.099424
302,11360270197.102541
303,11855507396.91626
304,14545682928.44446
305,15910491493.026913
306,12706152255.172865
307,10517680418.165438
308,9741154712.76453
309,9381184094.789324
310,10643209863.30493
311,11885525977.945797
312,12848270097.20703
313,13655914881.480778
314,13216132276.192446
315,13783435523.607912
316,14210260532.26527
317,14868750481.893127
318,15632153912.804932
319,14258515194.16132
320,13399945618.108896
321,13881378742.101803
322,16207562048.196789
323,14537231134.548782
324,14328081283.780283
325,17114448015.36136
326,15983973644.917002
327,13371604531.630611
328,13302425904.697826
329,16277178347.828737
330,14938874408.934872
331,11970596799.081314
332,16684186044.729311
333,13755327136.63434
334,12159820553.414124
335,11452040708.918947
336,11331594613.502504
337,8485825416.016905
338,5641829567.793943
339,7345550116.42218
340,4869576487.317657
341,3491046591.691359
342,1513041477.8930821
343,2800516604.230014
344,1856454982.9032135
345,1145321581.2760773
346,482214860.95276636
347,1475539331.9660668
348,873333246.4493555
349,528597915.1316261
350,63876328.09186726
351,3336462258.897293
352,3606402829.0747538
353,2632259109.088285
354,1078623216.793791
355,4424462025.739006
356,7074111327.601725
357,7847441543.933091
358,4481077532.120619
359,6269445400.015931
360,6134335087.269366
361,4080316983.8514905
362,555733731.9260379
363,1289816236.038751
364,602194975.7300757
365,358422079.8966113
366,854303355.8076668
367,2129387576.9234803
368,2017326811.5087929
369,1967056568.282974
370,4657549864.671095
371,6267756607.993727
372,8614656497.6396
373,10910513149.996336
374,12791434822.80225
375,15210591098.987564
376,16857342565.212841
377,18829905700.158997
378,21021051317.764355
379,22418361974.43412
380,21492545394.436035
381,21023336690.90204
